mean,count,hexIds/0,hexIds/1,hexIds/2,hexIds/3,hexIds/4,hexIds/5,hexIds/6,hexIds/7,hexIds/8
73.333,440,88283082b9fffff,88283082b1fffff,88283082b5fffff,88283082b7fffff,88283082bbfffff,882830876dfffff,,,
384.444,3460,8828308281fffff,8828308287fffff,88283082abfffff,88283082a3fffff,8828308289fffff,88283082c7fffff,88283082c3fffff,88283082c1fffff,88283082d5fffff
36,36,88283082d7fffff,,,,,,,,
132.625,1061,88283082a9fffff,88283082a1fffff,8828308285fffff,88283082e3fffff,88283082e1fffff,88283082ebfffff,882830828dfffff,88283082c5fffff,
125.333,1128,882830828bfffff,8828308283fffff,8828308295fffff,882830829dfffff,8828308299fffff,8828308291fffff,8828308293fffff,882830874dfffff,88283082d3fffff
34,34,88283082adfffff,,,,,,,,
16,16,88283080c9fffff,,,,,,,,
16,16,88283082b3fffff,,,,,,,,
44,88,8828309511fffff,8828309515fffff,,,,,,,
75.333,226,88283095a9fffff,88283095adfffff,88283095a1fffff,,,,,,
6.333,38,882830821dfffff,8828308211fffff,8828308213fffff,8828308217fffff,8828308215fffff,882830821bfffff,,,
46,92,88283082edfffff,88283082e9fffff,,,,,,,
40,120,8828308749fffff,88283095b5fffff,88283095b1fffff,,,,,,
16,16,88283082d1fffff,,,,,,,,
15.6,78,8828309527fffff,8828309525fffff,88283082cdfffff,8828309523fffff,8828309535fffff,,,,
190,190,88283082bdfffff,,,,,,,,
77.333,232,88283082ddfffff,88283082cbfffff,88283082c9fffff,,,,,,
30,60,88283095e9fffff,88283095ebfffff,,,,,,,
13.6,68,882830953dfffff,8828309539fffff,8828309503fffff,8828309501fffff,882830950bfffff,,,,
3.333,10,8828309533fffff,8828309537fffff,88283095edfffff,,,,,,
2,8,882830951bfffff,8828309519fffff,8828309557fffff,88283095cdfffff,,,,,
28,28,8828309507fffff,,,,,,,,
12.5,50,88283095c7fffff,88283095c5fffff,8828309513fffff,88283095c3fffff,,,,,
5,10,88283095bdfffff,88283095a3fffff,,,,,,,
5,10,8828309581fffff,8828309589fffff,,,,,,,
20,20,8828308297fffff,,,,,,,,
230,230,88283082e7fffff,,,,,,,,
2,8,8828309505fffff,8828309563fffff,882830950dfffff,8828309509fffff,,,,,
4,4,882830952bfffff,,,,,,,,
50,100,8828308253fffff,8828308219fffff,,,,,,,
14,14,882830958bfffff,,,,,,,,
10,30,88283095e5fffff,88283095e7fffff,88283095e1fffff,,,,,,
22,66,88283095a5fffff,882830829bfffff,88283095a7fffff,,,,,,
15.8,79,8828309587fffff,8828309585fffff,88283095abfffff,88283095b9fffff,88283095bbfffff,,,,
64,64,88283082a7fffff,,,,,,,,
3,6,88283095e3fffff,882830958dfffff,,,,,,,
2,2,88283082a5fffff,,,,,,,,
2,2,8828309583fffff,,,,,,,,
84,84,882830959dfffff,,,,,,,,
4,4,8828308769fffff,,,,,,,,
26,52,88283095ddfffff,88283095cbfffff,,,,,,,
20,40,8828309565fffff,8828309567fffff,,,,,,,
28,28,8828309597fffff,,,,,,,,
4,4,88283095d7fffff,,,,,,,,
4,4,8828309591fffff,,,,,,,,
2,2,88283080cbfffff,,,,,,,,
18,18,8828308257fffff,,,,,,,,
4,4,882830820bfffff,,,,,,,,
4,4,88283095c1fffff,,,,,,,,
