name,code,address,entries,exits,coordinates/0,coordinates/1
Lafayette (LAFY),LF,"3601 Deer Hill Road, Lafayette CA 94549",3481,3616,-122.123801,37.893394
12th St. Oakland City Center (12TH),12,"1245 Broadway, Oakland CA 94612",13418,13547,-122.271604,37.803664
16th St. Mission (16TH),16,"2000 Mission Street, San Francisco CA 94110",12409,12351,-122.419694,37.765062
19th St. Oakland (19TH),19,"1900 Broadway, Oakland CA 94612",13108,13090,-122.269029,37.80787
24th St. Mission (24TH),24,"2800 Mission Street, San Francisco CA 94110",12817,12529,-122.418466,37.752254
Ashby (ASHB),AS,"3100 Adeline Street, Berkeley CA 94703",5452,5341,-122.26978,37.853024
Balboa Park (BALB),BP,"401 Geneva Avenue, San Francisco CA 94112",11170,9817,-122.447414,37.721981
Bay Fair (BAYF),BF,"15242 Hesperian Blvd., San Leandro CA 94578",5564,5516,-122.126871,37.697185
Castro Valley (CAST),CV,"3301 Norbridge Dr., Castro Valley CA 94546",2781,2735,-122.075567,37.690754
Civic Center/UN Plaza (CIVC),CC,"1150 Market Street, San Francisco CA 94102",24798,22626,-122.413756,37.779528
Colma (COLM),CM,"365 D Street, Colma CA 94014",4397,4214,-122.466233,37.684638
Coliseum/Oakland Airport (COLS),CL,"7200 San Leandro St., Oakland CA 94621",5837,5902,-122.197273,37.754006
Concord (CONC),CN,"1451 Oakland Avenue, Concord CA 94520",6035,6008,-122.029095,37.973737
Daly City (DALY),DC,"500 John Daly Blvd., Daly City CA 94014",8681,8502,-122.469081,37.706121
Downtown Berkeley (DBRK),BK,"2160 Shattuck Avenue, Berkeley CA 94704",11043,11762,-122.268045,37.869867
El Cerrito del Norte (DELN),EN,"6400 Cutting Blvd., El Cerrito CA 94530",8176,8668,-122.317269,37.925655
Dublin/Pleasanton (DUBL),ED,"5801 Owens Dr., Pleasanton CA 94588",7702,7554,-121.900367,37.701695
Embarcadero (EMBR),EM,"298 Market Street, San Francisco CA 94111",40376,46951,-122.396742,37.792976
Fremont (FRMT),FM,"2000 BART Way, Fremont CA 94536",8748,8673,-121.9764,37.557355
Fruitvale (FTVL),FV,"3401 East 12th Street, Oakland CA 94601",7701,8012,-122.224274,37.774963
Glen Park (GLEN),GP,"2901 Diamond Street, San Francisco CA 94131",7732,7072,-122.434092,37.732921
Hayward (HAYW),HY,"699 'B' Street, Hayward CA 94541",4958,5003,-122.087967,37.670399
Lake Merritt (LAKE),LM,"800 Madison Street, Oakland CA 94607",6539,6604,-122.265609,37.797484
MacArthur (MCAR),MA,"555 40th Street, Oakland CA 94609",9000,9228,-122.267227,37.828415
Millbrae (MLBR),MB,"200 North Rollins Road, Millbrae CA 94030",6570,6149,-122.38666,37.599787
Montgomery St. (MONT),MT,"598 Market Street, San Francisco CA 94104",43430,45128,-122.401407,37.789256
North Berkeley (NBRK),NB,"1750 Sacramento Street, Berkeley CA 94702",4363,4563,-122.283451,37.87404
North Concord/Martinez (NCON),NC,"3700 Port Chicago Highway, Concord CA 94520",2800,2652,-122.024597,38.003275
Orinda (ORIN),OR,"11 Camino Pablo, Orinda CA 94563",2896,2970,-122.183791,37.878361
Pleasant Hill/Contra Costa Centre (PHIL),PH,"1365 Treat Blvd., Walnut Creek CA 94597",7574,7442,-122.056013,37.928403
Pittsburg/Bay Point (PITT),WP,"1700 West Leland Road, Pittsburg CA 94565",6262,6343,-121.945154,38.018914
El Cerrito Plaza (PLZA),EP,"6699 Fairmount Avenue, El Cerrito CA 94530",4763,4952,-122.299272,37.903059
Powell St. (POWL),PL,"899 Market Street, San Francisco CA 94102",29460,25621,-122.406857,37.784991
Richmond (RICH),RM,"1700 Nevin Avenue, Richmond CA 94801",4184,4029,-122.353165,37.936887
Rockridge (ROCK),RR,"5660 College Avenue, Oakland CA 94618",5299,5775,-122.251793,37.844601
San Leandro (SANL),SL,"1401 San Leandro Blvd., San Leandro CA 94577",5836,5921,-122.161311,37.722619
San Bruno (SBRN),SB,"1151 Huntington Avenue, San Bruno CA 94066",3628,3634,-122.416038,37.637753
San Francisco Int'l Airport (SFIA),SO,"International Terminal, Level 3, San Francisco Int'l Airport CA 94128",5833,4904,-122.392612,37.616035
South Hayward (SHAY),SH,"28601 Dixon Street, Hayward CA 94544",3007,2829,-122.057551,37.6348
South San Francisco (SSAN),SS,"1333 Mission Road, South San Francisco CA 94080",3542,3441,-122.444116,37.664174
Union City (UCTY),UC,"10 Union Square, Union City CA 94587",4772,4770,-122.017867,37.591208
Walnut Creek (WCRK),WC,"200 Ygnacio Valley Road, Walnut Creek CA 94596",6719,6917,-122.067423,37.905628
West Dublin/Pleasanton (WDUB),WD,"6501 Golden Gate Drive, Dublin CA 94568",3303,3447,-121.928099,37.699759
West Oakland (WOAK),OW,"1451 7th Street, Oakland CA 94607",7312,6838,-122.294582,37.804675
